Algorithm,n,List Speed,List Ops/sort,Comparison Speed,Comparison Ops/sort,Time (ns)
InsertionSorter,40,Fast,1917,Fast,420,19545917
InsertionSorter,40,Fast,1917,Normal,420,30282737326
InsertionSorter,40,Fast,1917,Slow,420,58280561424
InsertionSorter,40,Normal,1995,Fast,420,7056644884
InsertionSorter,40,Normal,1995,Normal,420,37477282601
InsertionSorter,40,Normal,1995,Slow,420,65356857428
InsertionSorter,40,Slow,2073,Fast,420,13948637495
InsertionSorter,40,Slow,2073,Normal,420,43608908029
InsertionSorter,40,Slow,2073,Slow,420,72262106879
SelectionSorter,40,Fast,1788,Fast,820,10996264
SelectionSorter,40,Fast,1788,Normal,820,27876614180
SelectionSorter,40,Fast,1788,Slow,820,54389780786
SelectionSorter,40,Normal,3428,Fast,820,25243747701
SelectionSorter,40,Normal,3428,Normal,820,52840308081
SelectionSorter,40,Normal,3428,Slow,820,79635600040
SelectionSorter,40,Slow,5068,Fast,820,49855292216
SelectionSorter,40,Slow,5068,Normal,820,77331010461
SelectionSorter,40,Slow,5068,Slow,820,1.04E+11
QuickSort,40,Fast,565,Fast,278,11365328
QuickSort,40,Fast,565,Normal,278,8994925033
QuickSort,40,Fast,565,Slow,278,17301034494
QuickSort,40,Normal,876,Fast,278,7227079466
QuickSort,40,Normal,876,Normal,278,15929766843
QuickSort,40,Normal,876,Slow,278,24437144726
QuickSort,40,Slow,1187,Fast,278,14292112353
QuickSort,40,Slow,1187,Normal,278,22963786276
QuickSort,40,Slow,1187,Slow,278,31495659314
MergeSort,40,Fast,456,Fast,100,4543395
MergeSort,40,Fast,456,Normal,100,7328813603
MergeSort,40,Fast,456,Slow,100,13880367269
MergeSort,40,Normal,2140,Fast,100,3094925460
MergeSort,40,Normal,2140,Normal,100,10107921004
MergeSort,40,Normal,2140,Slow,100,16965041868
MergeSort,40,Slow,3584,Fast,100,6079377679
MergeSort,40,Slow,3584,Normal,100,13100206557
MergeSort,40,Slow,3584,Slow,100,19940069023
